,zipcode,type,commoncity,county,areacode
359,72339,PO Box,Gilmore,Crittenden County,Area Code 870
360,72340,PO Box,Goodwin,St. Francis County,Area Code 870
361,72341,PO Box,Haynes,Lee County,Area Code 870
362,72342,Standard,Helena,Phillips County,Area Code 870
363,72346,Standard,Heth,St. Francis County,Area Code 870
364,72347,Standard,Hickory Ridge,Cross County,Area Code 870
365,72348,Standard,"Hughes, Horseshoe Lake, Horseshoe Lk",St. Francis County,Area Code 870
366,72350,Standard,Joiner,Mississippi County,Area Code 870
367,72351,PO Box,Keiser,Mississippi County,Area Code 870
368,72352,PO Box,La Grange,Lee County,Area Code 870
369,72353,PO Box,Lambrook,Phillips County,Area Code 870
370,72354,Standard,Lepanto,Poinsett County,Area Code 870
371,72355,Standard,Lexa,Phillips County,
372,72358,Standard,Luxora,Mississippi County,Area Code 870
373,72359,PO Box,Madison,St. Francis County,Area Code 870
374,72360,Standard,Marianna,Lee County,Area Code 870
375,72364,Standard,Marion,Crittenden County,Area Code 870
376,72365,Standard,Marked Tree,Poinsett County,Area Code 870
377,72366,Standard,Marvell,Phillips County,Area Code 870
378,72367,PO Box,Mellwood,Phillips County,Area Code 870
379,72368,Standard,Moro,Lee County,Area Code 870
380,72369,PO Box,Oneida,Phillips County,Area Code 870
381,72370,Standard,Osceola,Mississippi County,Area Code 870
382,72372,Standard,Palestine,St. Francis County,Area Code 870
383,72373,Standard,Parkin,Cross County,Area Code 870
384,72374,Standard,Poplar Grove,Phillips County,Area Code 870
385,72376,Standard,Proctor,Crittenden County,Area Code 870
386,72377,PO Box,Rivervale,Poinsett County,Area Code 870
387,72379,PO Box,Snow Lake,Desha County,Area Code 870
388,72383,PO Box,Turner,Phillips County,Area Code 870
389,72384,Standard,Turrell,Crittenden County,Area Code 870
390,72386,Standard,Tyronza,Poinsett County,Area Code 870
391,72387,PO Box,Vanndale,Cross County,Area Code 870
392,72389,PO Box,Wabash,Phillips County,Area Code 870
393,72390,Standard,West Helena,Phillips County,Area Code 870
394,72391,PO Box,West Ridge,Mississippi County,Area Code 870
395,72392,Standard,Wheatley,St. Francis County,Area Code 870
396,72394,Standard,"Widener, Round Pond",St. Francis County,Area Code 870
397,72395,Standard,Wilson,Mississippi County,Area Code 870
398,72396,Standard,Wynne,Cross County,Area Code 870
399,72401,Standard,Jonesboro,Craighead County,Area Code 870
400,72402,PO Box,Jonesboro,Craighead County,Area Code 870
401,72403,PO Box,Jonesboro,Craighead County,Area Code 870
402,72404,Standard,Jonesboro,Craighead County,Area Code 870
403,72405,Standard,Jonesboro,Craighead County,
404,72410,Standard,Alicia,Lawrence County,Area Code 870
405,72411,Standard,Bay,Craighead County,Area Code 870
406,72412,Standard,Beech Grove,Greene County,Area Code 870
407,72413,Standard,Biggers,Randolph County,Area Code 870
408,72414,Standard,Black Oak,Craighead County,Area Code 870
409,72415,Standard,Black Rock,Lawrence County,Area Code 870
410,72416,Standard,Bono,Craighead County,Area Code 870
411,72417,Standard,Brookland,Craighead County,Area Code 870
412,72419,Standard,Caraway,Craighead County,Area Code 870
413,72421,Standard,Cash,Craighead County,Area Code 870
414,72422,Standard,Corning,Clay County,Area Code 870
415,72424,PO Box,Datto,Clay County,Area Code 870
416,72425,Standard,Delaplaine,Greene County,Area Code 870
417,72426,PO Box,Dell,Mississippi County,Area Code 870
418,72427,PO Box,Egypt,Craighead County,Area Code 870
419,72428,Standard,Etowah,Mississippi County,Area Code 870
420,72429,Standard,Fisher,Poinsett County,Area Code 870
421,72430,Standard,Greenway,Clay County,Area Code 870
422,72431,PO Box,Grubbs,Jackson County,
423,72432,Standard,Harrisburg,Poinsett County,Area Code 870
424,72433,Standard,Hoxie,Lawrence County,Area Code 870
425,72434,Standard,Imboden,Lawrence County,Area Code 870
426,72435,Standard,"Knobel, Peach Orchard",Clay County,Area Code 870
427,72436,Standard,"Lafe, Marmaduke",Greene County,Area Code 870
428,72437,Standard,Lake City,Craighead County,Area Code 870
429,72438,Standard,Leachville,Mississippi County,Area Code 870
430,72439,Standard,"Light, Walnut Ridge",Greene County,Area Code 870
431,72440,Standard,Lynn,Lawrence County,Area Code 870
432,72441,PO Box,Mc Dougal,Clay County,Area Code 870
433,72442,Standard,Manila,Mississippi County,Area Code 870
434,72443,Standard,Marmaduke,Greene County,Area Code 870
435,72444,Standard,Maynard,Randolph County,Area Code 870
436,72445,PO Box,Minturn,Lawrence County,Area Code 870
437,72447,Standard,Monette,Craighead County,Area Code 870
438,72449,PO Box,O Kean,Randolph County,Area Code 870
439,72450,Standard,Paragould,Greene County,Area Code 870
440,72451,PO Box,Paragould,Greene County,Area Code 870
441,72453,Standard,Peach Orchard,Clay County,Area Code 870
442,72454,Standard,Piggott,Clay County,Area Code 870
443,72455,Standard,Pocahontas,Randolph County,Area Code 870
444,72456,Standard,Pollard,Clay County,Area Code 870
445,72457,PO Box,Portia,Lawrence County,Area Code 870
446,72458,Standard,Powhatan,Lawrence County,Area Code 870
447,72459,Standard,Ravenden,Lawrence County,Area Code 870
