,zipcode,type,commoncity,county,areacode
213,99763,PO Box,Noorvik,Northwest Arctic Borough,Area Code 907
214,99764,PO Box,Northway,Southeast Fairbanks Census Area,Area Code 907
215,99765,PO Box,Nulato,Yukon-Koyukuk Census Area,Area Code 907
216,99766,PO Box,Point Hope,North Slope Borough,Area Code 907
217,99767,PO Box,"Rampart, Fairbanks",Yukon-Koyukuk Census Area,Area Code 907
218,99768,PO Box,Ruby,Yukon-Koyukuk Census Area,Area Code 907
219,99769,PO Box,Savoonga,Nome Census Area,Area Code 907
220,99770,PO Box,Selawik,Northwest Arctic Borough,Area Code 907
221,99771,PO Box,Shaktoolik,Nome Census Area,Area Code 907
222,99772,PO Box,Shishmaref,Nome Census Area,Area Code 907
223,99773,PO Box,Shungnak,Northwest Arctic Borough,Area Code 907
224,99774,PO Box,"Stevens Village, Stevens Vlg",Yukon-Koyukuk Census Area,Area Code 907
225,99775,Unique,Fairbanks,Fairbanks North Star Borough,Area Code 907
226,99776,PO Box,"Tanacross, Tok",Southeast Fairbanks Census Area,Area Code 907
227,99777,PO Box,Tanana,Yukon-Koyukuk Census Area,Area Code 907
228,99778,PO Box,Teller,Nome Census Area,Area Code 907
229,99779,Standard,Tok,Southeast Fairbanks Census Area,Area Code 907
230,99780,Standard,"Tok, Mentasta Lake",Southeast Fairbanks Census Area,Area Code 907
231,99781,PO Box,Venetie,Yukon-Koyukuk Census Area,Area Code 907
232,99782,PO Box,Wainwright,North Slope Borough,Area Code 907
233,99783,PO Box,Wales,Nome Census Area,Area Code 907
234,99784,PO Box,"White Mountain, White Mtn",Nome Census Area,Area Code 907
235,99785,PO Box,"Brevig Mission, Brevig Msn",Nome Census Area,Area Code 907
236,99786,PO Box,Ambler,Northwest Arctic Borough,Area Code 907
237,99788,PO Box,"Chalkyitsik, Fort Yukon",Yukon-Koyukuk Census Area,Area Code 907
238,99789,PO Box,"Nuiqsut, Barrow",North Slope Borough,Area Code 907
239,99790,Standard,Fairbanks,Yukon-Koyukuk Census Area,Area Code 907
240,99791,PO Box,"Atqasuk, Barrow",North Slope Borough,Area Code 907
241,99801,Standard,Juneau,Juneau City and Borough,Area Code 907
242,99802,PO Box,Juneau,City and Borough of Juneau,Area Code 907
243,99803,PO Box,Juneau,City and Borough of Juneau,Area Code 907
244,99811,PO Box,Juneau,City and Borough of Juneau,Area Code 907
245,99812,Unique,Juneau,City and Borough of Juneau,Area Code 907
246,99820,PO Box,Angoon,Hoonah-Angoon Census Area,Area Code 907
247,99821,PO Box,"Auke Bay, Juneau",City and Borough of Juneau,Area Code 907
248,99824,Standard,"Douglas, Juneau",Juneau City and Borough,Area Code 907
249,99825,PO Box,Elfin Cove,Hoonah-Angoon Census Area,Area Code 907
250,99826,PO Box,Gustavus,Hoonah-Angoon Census Area,Area Code 907
251,99827,Standard,Haines,Haines Borough,Area Code 907
252,99829,PO Box,Hoonah,Hoonah-Angoon Census Area,Area Code 907
253,99830,PO Box,Kake,Petersburg Census Area,Area Code 907
254,99832,PO Box,Pelican,Hoonah-Angoon Census Area,Area Code 907
255,99833,PO Box,"Petersburg, Kupreanof",Petersburg Census Area,Area Code 907
256,99835,Standard,Sitka,Sitka City and Borough,Area Code 907
257,99836,PO Box,"Port Alexander, Prt Alexander, Sitka",Petersburg Census Area,Area Code 907
258,99840,PO Box,Skagway,Skagway Municipality,Area Code 907
259,99841,PO Box,"Tenakee Springs, Tenakee Spgs",Hoonah-Angoon Census Area,Area Code 907
260,99850,PO Box,Juneau,City and Borough of Juneau,Area Code 907
261,99901,Standard,"Ketchikan, Edna Bay, Kasaan, Naukati Bay, Saxman",Ketchikan Gateway Borough,Area Code 907
262,99903,PO Box,"Meyers Chuck, Ketchikan",Wrangell City and Borough,Area Code 907
263,99918,PO Box,"Coffman Cove, Ketchikan",Prince of Wales-Hyder Census Area,Area Code 907
264,99919,PO Box,"Thorne Bay, Ketchikan",Prince of Wales-Hyder Census Area,Area Code 907
265,99921,PO Box,Craig,Prince of Wales-Hyder Census Area,Area Code 907
266,99922,PO Box,Hydaburg,Prince of Wales-Hyder Census Area,Area Code 907
267,99923,PO Box,Hyder,Prince of Wales-Hyder Census Area,Area Code 907
268,99925,PO Box,Klawock,Prince of Wales-Hyder Census Area,Area Code 907
269,99926,PO Box,Metlakatla,Prince of Wales-Outer Ketchikan Borough,Area Code 907
270,99927,PO Box,Point Baker,Prince of Wales-Hyder Census Area,Area Code 907
271,99928,PO Box,Ward Cove,Ketchikan Gateway Borough,Area Code 907
272,99929,PO Box,Wrangell,Wrangell City and Borough,Area Code 907
273,99950,PO Box,"Ketchikan, Edna Bay, Kasaan",Prince of Wales-Outer Ketchikan Borough,Area Code 907
