,zipcode,type,commoncity,county,areacode
2326,95652,Standard,Mcclellan,Sacramento County,Area Code 916
2327,95653,PO Box,Madison,Yolo County,
2328,95654,PO Box,"Martell, Jackson",Amador County,Area Code 209
2329,95655,Standard,"Mather, Rancho Cordova, Rncho Cordova",Sacramento County,
2330,95656,PO Box,Mount Aukum,El Dorado County,
2331,95658,Standard,Newcastle,Placer County,Area Code 530Area Code 916
2332,95659,Standard,"Nicolaus, East Nicolaus, Trowbridge",Sutter County,Area Code 916Area Code 530
2333,95660,Standard,"North Highlands, N Highlands",Sacramento County,Area Code 916
2334,95661,Standard,"Roseville, Granite Bay",Placer County,Area Code 916Area Code 530
2335,95662,Standard,Orangevale,Sacramento County,Area Code 916
2336,95663,Standard,Penryn,Placer County,Area Code 916
2337,95664,Standard,Pilot Hill,El Dorado County,
2338,95665,Standard,Pine Grove,Amador County,Area Code 209
2339,95666,Standard,Pioneer,Amador County,Area Code 209
2340,95667,Standard,"Placerville, Kelsey",El Dorado County,Area Code 530
2341,95668,Standard,"Pleasant Grove, Pleasant Grv",Sutter County,Area Code 530Area Code 916
2342,95669,Standard,Plymouth,Amador County,Area Code 916Area Code 209
2343,95670,Standard,"Rancho Cordova, Gold River, Rncho Cordova",Sacramento County,Area Code 916
2344,95671,Unique,Represa,Sacramento County,Area Code 916
2345,95672,Standard,Rescue,El Dorado County,Area Code 530
2346,95673,Standard,Rio Linda,Sacramento County,Area Code 916
2347,95674,Standard,Rio Oso,Sutter County,Area Code 530
2348,95675,PO Box,"River Pines, Mount Aukum",Amador County,Area Code 209
2349,95676,PO Box,Robbins,Sutter County,Area Code 530
2350,95677,Standard,Rocklin,Placer County,Area Code 530Area Code 916
2351,95678,Standard,Roseville,Placer County,Area Code 530Area Code 916
2352,95679,PO Box,Rumsey,Yolo County,
2353,95680,PO Box,Ryde,Sacramento County,
2354,95681,Standard,Sheridan,Placer County,
2355,95682,Standard,"Shingle Springs, Cameron Park, Latrobe, Shingle Spgs",El Dorado County,Area Code 530
2356,95683,Standard,"Sloughhouse, Rancho Murieta, Rncho Murieta",Sacramento County,Area Code 916
2357,95684,Standard,"Somerset, Fair Play",El Dorado County,
2358,95685,Standard,Sutter Creek,Amador County,Area Code 209
2359,95686,PO Box,Thornton,San Joaquin County,Area Code 209
2360,95687,Standard,Vacaville,Solano County,Area Code 707
2361,95688,Standard,Vacaville,Solano County,Area Code 707
2362,95689,Standard,Volcano,Amador County,Area Code 209
2363,95690,Standard,Walnut Grove,Sacramento County,Area Code 209Area Code 916
2364,95691,Standard,"West Sacramento, W Sacramento",Yolo County,Area Code 916
2365,95692,Standard,Wheatland,Yuba County,Area Code 530
2366,95693,Standard,Wilton,Sacramento County,Area Code 916
2367,95694,Standard,Winters,Yolo County,Area Code 530
2368,95695,Standard,Woodland,Yolo County,Area Code 530
